分類,編號,前置技能,技能樹順序,名稱,英文,日文,簡體中文
1,4,,E4 DRB H5 S L SR DRB SR H SR H S L E V E7 DRB S L E DRB SR H SR H SR H SR DB L E V E7 DR S L E DRB SR H3 SR H S L E V L E DR SR H SRB H3 SR H S L E4 V E3 DRB H3 S L E4 DR H3 SR H S,雙劍技能,Dual Sword Skills,デュアルソードスキル,双剑技能
,0,-,1,雙劍要領,Dual Sword Mastery,デュアルマスタリ,双剑要领
,1,0,2,雙弧斬,Twin Slash,ツインスラッシュ,双弧斩
,2,1,3,破空刃,Spinning Slash,エアスライド,破空刃
,3,2,4,幻影劍,Phantom Slash,ファントムレイヴ,幻影剑
,4,0,6,禦空破陣,Cross Parry,パリングソード,御空破阵
,5,4,7,猛爆斬,Charging Slash,ドラグーンソード,猛爆斩
,6,5,8,劍影,Shadowstep,回り込み,剑影
,8,0,11,步步為營,Reflex,ステップリアクター,步步为营
,9,8,12,劍閃,Flash Blast,フィロ・エクレール,剑闪
,11,0,14,雙劍鍛鍊,Dual Sword Control,双剣の鍛錬,双剑锻炼
,12,11,15,神速軌跡,God Speed,神速の軌跡,神速轨迹
,7,6,9,閃光交叉,Shining Cross,シァイニングクロス,闪光交叉
,10,9,13,疾風收割,Storm Reaper,シュツルムリーパー,疾风收割
,13,12,16,劍舞靈光,Saber Aura,セイバーオーラー,剑舞灵光
,14,2,0,破空刃斬,Aerial Cut,エアスライサー,破空刃斩
,15,7,5,月神災厄,Lunar Misfortune,ルーナディザスター,月神灾厄
,16,7,10,雙破壞之刃,Twin Buster Blade,ツインバスターブレード,双破坏之刃
,17,13,17,弧光劍舞,Crescent Saber,アークセイバー,弧光剑舞
,18,19,18,劍刃突刺,Sting Blade,,剑刃突刺
,19,12,19,空舞斬,Aerial Slay,エリアルスレイ,空舞斩
,20,19,20,水平橫斬,Horizon Cut,ホライゾナルカット,水平横斩
1,5,,E4 DRB H3 SR H S L SR DRB SR H SR H S L E V L E DR SRB H3 SR H SR H S L E2 V L E2 DR H SR H SR H SR H S L2 SR H5 SR H3 S L2 SR H3 SR H3 SR H S L E6 S,斧槍技能,Halberd Skills,ハルバードスキル,斧枪技能
,0,-,2,迅捷刺突,Flash Stab,フラッシュスタブ,迅捷刺突
,4,2,0,龍牙擊,Dragon Tooth,ドラゴントゥース,龙牙击
,15,4,1,龍力充填,Draconic Charge,ドラゴニックチャージ,龙力充填
,1,0,3,鴻鵠一擲,Cannon Spear,キャノンスピア,鸿鹄一掷
,2,1,4,龍尾,Dragon Tail,ドラゴンテイル,龙尾
,3,2,5,潛龍憾地,Dive Impact,ダイブインパクト,潜龙憾地
,5,0,6,死亡斧槍,Deadly Spear,デッドリースピア,死亡斧枪
,6,5,7,穿刺擊,Strike Stab,ストライクスタブ,穿刺击
,7,6,8,時空驅動,Chronos Drive,クロノスドライブ,时空驱动
,16,7,9,無窮空間,Infinite Dimension,ディメンジョンティル,无穷空间
,8,5,10,懲戒之槍,Punish Ray,パニッシュレイ,惩戒之枪
,9,-,14,斧槍要領,Halberd Mastery,ハルバードマスタリ,斧枪要领
,10,9,15,凝聚心神,Critical Spear,会心の捌き,凝聚心神
,17,10,16,颶風槍,Tornado Lance,トルネードランス,飓风枪
,11,-,17,破風之勢,Quick Aura,クイックオーラ,破风之势
,12,11,18,逆境怒吼,War Cry of Struggle,逆境の雄叫び,逆境怒吼
,13,12,19,神速掌握,Godspeed Wield,神速の捌手,神速掌握
,18,13,20,神槍掌握,Almighty Wield,神の槍捌き,神枪掌握
,14,-,21,破壞矛,Buster Lance,バスターランス,破坏矛
,19,8,11,雷霆之槍,Blitz Spike,,雷霆之枪
,20,19,12,天打雷劈,Lighting Hail,,天打雷劈
,21,20,13,索爾之鎚,Thor's Hammer,,索尔之锤
1,6,,SR H SR H SR H SR DRB SR H S L E7 V L SR H3 SR H S DR SR H S L2 SR DRB H4 SR H3 S L E V L E DR SR H SRB H3 SR H S L E4 V L E4 SR H SR H SR H S L2 E6 S,武士技能,Mononofu Skills,モノノフスキル,武士技能
,0,-,0,一閃,Issen,一閃,一闪
,1,0,1,波動刃,Pulse Blade,波動刃,波动刃
,2,1,2,三段突刺,Triple Thrust,三段突き,三段突刺
,3,2,3,八相發破,Hasso Happa,八相発破,八相发破
,5,3,4,天流亂星,Tenryu Ransei,天流亂星,天流乱星
,15,5,5,霞雪月花,Kasumisetsu Getsuka,霞雪月花,霞雪月花
,6,-,6,刀柄打擊,Pommel Strike,柄打ち,刀柄打击
,7,6,7,斷禍,Magadachi,禍断ち,断祸
,8,7,8,斬釘截鐵,Zantei Settetsu,斬釘截鉄,斩钉截铁
,4,3,9,畫龍點睛,Garyou Tensei,畫龍點睛,画龙点睛
,16,4,10,無影斬,Shadowless Slash,無影斬,无影斩
,9,-,11,武士道,Bushido,武士道,武士道
,10,9,12,縮地法,Shukuchi,縮地法,缩地法
,17,10,13,突襲制其先,Nukiuchi Sennosen,抜打先之先,突袭制其先
,11,9,14,雙手合持,Two-Handed,両手持ち,双手合持
,12,11,15,明鏡止水,Meikyo Shisui,明鏡止水,明镜止水
,13,12,16,怪力亂神,Kairiki Ranshin,怪力乱神,怪力乱神
,18,13,17,不撓不屈,Dauntless,不撓不屈,不挠不屈
,14,-,22,彈刀,Bouncing Blade,刃弾き,弹刀
,19,12,18,瑞風,,,瑞风
,20,19,19,一陣風,,,一阵风
,21,20,20,颯,,,飒
,22,21,21,一陣風．改,,,一阵风．改
1,7,,SR H SR H SR H S L2 SR DRB SR H3 S L E V L E DR SR H SR H S,粉碎者技能,Crusher Skills,クラッシャースキル,粉碎者技能
,0,-,0,正拳突擊,Forefist Punch,正拳突き,正拳突击
,1,0,1,巨人烈破,Goliath Punch,ゴリアステイクショット,巨人烈破
,2,1,2,神之手,God Hand,ゴッドハンド,神之手
,7,2,3,神剛體,Divine Rigid Body,,神刚体
,3,-,4,呼吸法,Breathwork,呼吸法,呼吸法
,4,3,5,飛踢,Floating Kick,フローティングキック,飞踢
,9,4,6,噴泉飛踢,Geyser Kick,,喷泉飞踢
,5,3,7,組合拳,Combination,コンビネーション,组合拳
,6,5,8,破壞者,Annihilator,破壊者,破坏者
,8,6,9,碎地之技,Terrablast Unacquired,ジオクラッシャー,碎地之技
1,8,,E5 DRB S L E3 DRB SR D L E DRB SR DB E DRB SR H S L SR DB E DR SR DB L E DR SR DB E DR S L E3 DR SR DB L E5 DR SR H S L L SR H SR H SR H SR H S L,靈魂技能,Sprite Skills,スプライトスキル,灵魂技能
,0,1,0,復甦,Resurrection,リザレクション,复苏
,1,2,1,守望相助,Micro Heal,クラインヒール,守望相助
,2,4,2,緊急援助,Express Aid,ラッシュエイド,紧急援助
,3,5,3,穩定術,Stabiliz,スタビリス,稳定术
,4,-,5,自動裝置,Auto-Device,オートデバイス,自动装置
,5,2,6,增強術,Enhance Unacquired,エンハンス,增强术
,6,4,7,反擊勢力,CounterForce,カウンターフォース,反击势力
,7,5,8,靈魂護盾,Sprite Shield,,灵魂护盾
,8,6,9,天外長槍,Astral Lance,アストラルランス,天外长枪
,9,8,10,魔法火神,Magic Vulcan,マジックバルカン,魔法火神
,10,3,4,靈魂強化,,,灵魂强化
,11,9,11,詛咒祭壇,,,诅咒祭坛
,12,-,12,點燃,,,点燃
,13,12,13,土龍魔彈,,,土龙魔弹
,14,13,14,虛幻武裝,,,虚幻武装
,15,14,15,魔刃收割,,,魔刃收割
,16,15,16,生命的光輝,,,生命的光辉
0,1,,,強化技能,Buff,強化スキル,强化技能
1,0,,DRB H3 S L SR H S L2 SRB H S L DR H3 S,防衛技能,Guard Skills,ガードスキル,防卫技能
,0,-,1,重防具要領,Heavy Armor,重防具マスタリ,重防具要领
,1,0,2,進階阻擋,Advanced Guard,アドバンスガード,进阶阻挡
,2,0,0,物理防禦,Physical Guard,フィジカルガード,物理防御
,3,-,3,輕防具要領,Light Armor,軽防具マスタリ,轻防具要领
,4,3,4,進階閃躲,Advanced Evasion,アドバンスフリー,进阶闪躲
,5,3,5,幻象迷蹤,Mirage Evasion,ミラージュステップ,幻象迷踪
1,1,,E DRB SR H SR H S L E V L SR DRB SR H S L E V L E DR SR H SR H SR H S L2 SR H SR H3 S,防護技能,Shield Skills,シールドスキル,防护技能
,0,-,3,盾牌要領,Shield Mastery,シールドマスタリ,盾牌要领
,1,0,0,重盾擊,Shield Bash,シールドバッシュ,重盾击
,2,1,1,飛盾,Shield Cannon,シールドキャノン,飞盾
,3,2,2,傷害反彈,Guard Strike,ガードストライク,伤害反弹
,4,0,4,防護盾甲,Force Shield,フォースシールド,防护盾甲
,5,4,5,防魔盾甲,Magical Shield,マジカルシールド,防魔盾甲
,6,-,10,防禦界限,Protection,プロテクション,防御界限
,7,6,11,魔法庇護,Aegis,イージス,魔法庇护
,8,7,12,移花接木,Guardian,ガーディアン,移花接木
,9,0,6,上擊盾,Shirld Uppercut,,上击盾
,10,9,7,成雙之盾,Dual Shield,,成双之盾
,11,10,8,護盾修復,Shield Repair,,护盾修复
,12,11,9,圍攻,Belagerung,,围攻
1,2,,E DRB SR H SR H SR H S L SR DB L E DR SR H S L2 SR H SR DRB H2 S L E3 V L E3 DR SR H SR H S,刀術技能,Dagger Skills,ナイフスキル,刀术技能
,0,-,4,飛刃,Throwing Knife,スローイング,飞刃
,1,0,0,定影針,Spike Dart,スバイクダート,定影针
,2,1,1,加特林機槍,Gatling Knife,ガトリングナイフ,加特林机枪
,3,2,2,神乎其技,Amazing Throw,脅威の投擲術,神乎其技
,4,0,5,毒飛刃,Poison Dagger,ポイズンダガー,毒飞刃
,5,4,6,連環刃,Double Throw,ダブルスロー,连环刃
,6,-,7,無影刃,Hidden Arm,セカンドアーム,无影刃
,7,6,8,威力增幅,Intense Knife,インテンスナイフ,威力增幅
,8,7,9,裝甲破壞,Mail Breaker,メイルブレイカー,装甲破坏
,9,7,10,短兵相接,Knife Combat,,短兵相接
,10,9,11,畏懼之刃,Flincher Knife,,畏惧之刃
,11,3,3,瘋狂飛刀,,,
,12,10,12,迴旋噬咬,,,
1,3,,SR H SR H SR H SR H S L2 SR H SRB H SR H SR H S L E2 V L E2 SR H S L SR H5 SR H S,騎士技能,Knight Skills,ナイトスキル,骑士技能
,0,-,0,突擊,Assault Attack,アサルトアタック,突击
,1,0,1,卸力,Parry,パリィ,卸力
,2,1,2,完善守備,P. Defense,Pディフェンス,完善守备
,3,2,3,重騎覺醒,Fareth,ファーレス,重骑觉醒
,4,-,5,挑釁,Provoke,プロボーグ,挑衅
,5,4,6,憤怒的一擊,Rage Sword,レイジソード,愤怒的一击
,6,5,7,繫影強襲,Binding Strike,バインドストライク,系影强袭
,7,6,8,騎士決意,Knight Will,ナイトウィル,骑士决意
,8,5,10,音速擠壓,Sonic Thrust,ソニックスラスト,音速挤压
,9,8,11,歸來,Revenir,ルヴニール,归来
,10,-,12,騎士勇姿,Knight's Stance,ナイトスタンス,骑士勇姿
,11,10,13,騎士治癒,Knight's Remedy,ナイトヒール,骑士治愈
,12,3,4,後防盾甲,Aftershield,アフターシールド,后防盾甲
,13,7,9,閃爍之劍,Blink Sword,ブリンクソード,闪烁之剑
,14,11,14,騎士誓約,Knight Pledge,ナイトプレッジ,骑士誓约
1,4,,SR H SR H SR H SR H S L2 SR H SR H SR H SR H S L2 E3 DRB SR H S L SR H SR DB L E3 DR SR H SR H S,狩獵技能,Hunter Skills,ハンタースキル,狩猎技能
,0,-,0,腿踢,Kick,キックバック,腿踢
,1,0,1,旭日之箭,Sunrise Arrow,サンライズアロー,旭日之箭
,2,1,2,力量之箭,Magic Arrow,フォースアロー,力量之箭
,3,2,3,星墜,Satellite Arrow,サテライトアロー,星坠
,4,-,5,沉睡陷阱,Sleep Trap,スリープトラップ,沉睡陷阱
,5,4,6,絆腳陷阱,Bear Trap,トラバサミ,绊脚陷阱
,6,5,7,猛爆地雷,Land Mine,エクスプローシブ,猛爆地雷
,7,6,8,乏力陷阱,Dark Trap,ブランクトラップ,乏力陷阱
,8,-,12,尋蹤射擊,Homing Shot,,寻踪射击
,9,8,13,探知,Detection,,探知
,10,9,10,氣旋箭,Cyclone Arrow,,气旋箭
,11,10,11,垂直氣彈,Vertical Air,,垂直气弹
,12,9,14,弩弓獵人,Hunter Bowgun,,弩弓猎人
,13,12,15,多重狩獵,Multiple Hunt,,多重狩猎
,14,3,4,聚焦,Focus,フォーカス,聚焦
,15,7,9,偽裝術,Camouflage,カムフラージュ,伪装术
,16,13,16,狩獵知識,Hunter Knowledge,狩人の知識,狩猎知识
1,5,,SR H SR H SR H SR H S L2 SR H SRB H SR H SR H S L E2 V L S E SR H SR H SR H S,祭司技能,Priest Skills,プリーストスキル,祭司技能
,0,-,0,祝福,Bless,ブレス,祝福
,1,0,1,榮耀頌歌,Gloria,グロリア,荣耀颂歌
,2,1,2,強化祝福,Enhanced Bless,ブレス強化,强化祝福
,3,2,3,高貴治癒,Royal Heal,ハイネスヒール,高贵治愈
,4,-,5,聖拳之裁,Holy Fist,ホーリーフィスト,圣拳之裁
,5,4,6,神聖光輝,Holy Light,ホーリーライト,神圣光辉
,6,5,7,空靈障壁,Ether Barrier,エーテルコート,空灵障壁
,7,6,8,祈禱,Prayer,プリエール,祈祷
,8,-,10,杖擊,Staff Thrust,ロッドスタブ,杖击
,9,5,11,驅魔,Exorcism,エクソシズム,驱魔
,10,9,12,神聖之書,Holy Bible,ホーリーバイブル,神圣之书
,11,10,13,復仇女神,Namesis,ネメシス,复仇女神
,12,3,4,神聖教導,Sacred Teaching,神聖な教え,神圣教导
,13,7,9,阿斯庇斯之靈,Aspis Soul,アスピスソウル,阿斯庇斯之灵
,14,11,14,神聖恩惠,Holy Grace,ホーリーグレイス,神圣恩惠
1,6,,E2 DRB H3 S L SR H SR H SR H3 S L2 SR H SR H SR H SR H S L2 SR H SR H SR H SR H S,暗殺技能,Assasin Skills,アサシン,暗杀技能
,0,-,1,暗殺突刺,Assasin Stab,アサシンスタブ,暗杀突刺
,1,0,2,急速後閃,Backstep,バックステップ,急速后闪
,2,1,3,死亡綻放,Arcane Strike,フューネヴィンデ,死亡绽放
,3,1,0,刺客殺著,Sicarius,シーカーリウス,刺客杀着
,4,-,5,迅影迴避,Evasion,イベーション,迅影回避
,5,4,6,血清注射,Serum,シエラム,血清注射
,6,5,7,看破,Foresight,見切り,看破
,7,6,8,暗影步伐,Shadow Walk,シャドウウォーク,暗影步伐
,8,-,10,毒液注入,Venom Injection,ベノムインジェクト,毒液注入
,9,8,11,腐蝕性猛毒,Corrosive Poison,蝕む猛毒,腐蚀性猛毒
,10,9,12,毒液搶奪,Venom Thief,ベノムスナッチ,毒液抢夺
,11,10,13,死亡歡宴,Death Reception,デスリセプション,死亡欢宴
,12,2,4,暗殺之真髓,Secret Assassin,暗殺の極意,暗杀之真髓
,13,7,9,猛襲追擊,Assault Chase,アサルトチェイス,猛袭追击
,14,11,14,毒藥師,Poison Master,毒の調合師,毒药师
1,7,,DRB H3 S L V L SRB H3 SR H SR H SR H S L V L DR H SR DRB H2 SR H SR H S L E3 V L S E2 DR SR H SR H SR H S,巫師技能,Wizard Skills,ウィザードスキル,巫师技能
,0,-,1,使魔,Familia,ファミリア,使魔
,1,0,0,閃電術,Lightning,ライトニング,闪电术
,2,0,2,暴風雪,Blizzard,ブリザード,暴风雪
,3,2,3,流星轟炸,Meteor Strike,メテオストライク,流星轰炸
,4,3,4,帝王之光,Imperial Ray,インペリアルレイ,帝王之光
,5,0,6,魔力水晶,Mana Crystal,マナクリスタル,魔力水晶
,6,5,7,石膚術,Stone Barrier,ストーンスキン,石肤术
,7,6,8,高階使魔,Advanced Familia,ハイファミリア,高阶使魔
,8,-,10,詠唱要領,Cast Mastery,キャストマスタリ,咏唱要领
,9,5,11,水晶雷射,Crystal Laser,クリスタルレーサー,水晶雷射
,10,9,12,超限,Overlimit,オーバーリミット,超限
,11,10,13,魔術嚮導,Sorcery Guide,魔術の導,魔术向导
,12,4,5,魔術研究,Magic Research,魔術研究,魔术研究
,13,7,9,貓咪的掉落物,Kitty's Treasure,猫の落とし物,猫咪的掉落物
,14,11,14,次元挪移,Shift,シフト,次元挪移
,,,,,,,
,,,,,,,
,,,,,,,
0,2,,,輔助技能,Assist,補助スキル,辅助技能
1,0,,E2 SR H SR H SR H S L S L E2 SR H SR H SR H S L2 E2 SR H SR H SR H S,輔助技能,Support Skills,サポートスキル,辅助技能
,0,-,4,急救,First Aid,応急手当,急救
,1,-,0,治癒術,Mini Heal,ぷちヒール,治愈术
,2,1,1,異常抗體,Recovery,リカバリー,异常抗体
,3,2,2,聖域,Sanctuary,サンクチュアリ,圣域
,4,3,3,癒合,Heal,ヒール,愈合
,5,-,5,生命能源,Life Recovery,ライフリカバリー,生命能源
,6,5,6,勇氣泉源,Brave Aura,ブレイブオーラ,勇气泉源
,7,6,7,高速詠域,High Cycle,ハイサイクル,高速咏域
,9,-,9,魔力能源,Mana Recharge,マナリチャージ,魔力能源
,10,9,10,魔法防護,Magic Barrier,マジックバリア,魔法防护
,11,10,11,異常防護,Immunity,ディジートシール,异常防护
,8,7,8,高速行動,Quick Motion,クイックモーション,高速行动
,12,11,12,神速反應,Fast Reaction,ハイリアクション,神速反应
1,1,,SR H SR H SR H SR H S L2 SR H SR H SR H SR H S L2 SR H SR H SR H SR H S,好戰份子,Battle Skills,バトルスキル,好战份子
,0,-,0,提升魔力,Magic UP,魔法力up,提升魔力
,1,0,1,專注,Concentrate,集中,专注
,2,1,2,頑強抵抗,Desperate Resist,必死の抵抗,顽强抵抗
,3,2,3,魔力增幅,Increased Energy,更なる魔力,魔力增幅
,4,3,4,分段爆裂,Spell Burst,スペルバースト,分段爆裂
,5,-,5,提升攻擊力,Attack UP,攻撃力up,提升攻击力
,6,5,6,強打,Whack,強打,强打
,7,6,7,提升暴擊率,Critical UP,クリティカルup,提升暴击率
,8,7,8,威嚇之力,Intimidating Power,脅威の威力,威吓之力
,9,8,9,追擊之真髓,Secret Chase Attack,追擊の極意,追击之真髓
,10,-,10,提升防禦率,Defence UP,防御力up,提升防御率
,11,10,11,提升迴避率,Dodge UP,回避力up,提升回避率
,12,11,12,提升命中率,Accuracy UP,命中up,提升命中率
,13,12,13,守護要訣,Defense Mastery,守備の心得,守护要诀
,14,13,14,超凡掌握,Super Grip,スーパーグリップ,超凡掌握
1,2,,E3 DRB S L S E2 V L E2 SR DR S L S L E2 SR DRB S L S E2 V L E3 DR S,生存本能,Survival Skills,サバイバルスキル,生存本能
,0,-,1,裝死,Play Dead,死んだふり,装死
,1,-,4,經驗值提升,EXP Gain Up,経験値アップ,经验值提升
,2,-,7,掉寶率提升,Drop Rate Up,収集率アップ,掉宝率提升
,3,-,2,安心休息,Safe Rest,安全な休憩,安心休息
,4,3,0,HP突破,HP Boost,ＨＰブースト,HP突破
,5,3,3,游刃有餘,Fighter's High,余裕ある戦闘,游刃有余
,6,-,5,喘一口氣,Short Rest,小さな息抜き,喘一口气
,7,6,6,MP突破,MP Boost,ＭＰブースト,MP突破
,8,6,8,沉著以對,Sober Analysis,冷静な戦術,沉着以对
0,3,,,生產技能,Produce,生活関連スキル,生产技能
1,0,,E DRB SR H SR H SR H SR H S E S L E V L SR DRB H H SR H SR H S E3 S L E V L E H SR DRB SR H3 S E3 S L E3 V L S E2 DR SR H SR H SR H S E S L2 E12 S L2 E12 S,鍛冶大師,Smith Skills,スミススキル,锻冶大师
,0,-,6,精鍊裝備,Refine Equipment,装備精錬,精炼装备
,1,0,0,自身的鐵砧,Novice's Anvil,初心者の金敷,自身的铁砧
,2,1,1,專家的鐵砧,Craftman's Anvil,職人の金敷,专家的铁砧
,3,2,2,鐵匠鋪的鐵砧,Blacksmith's  Anvil,鍛冶屋の金敷,铁匠铺的铁砧
,11,3,3,大師的鐵砧,Master's Anvil,達人の金敷,大师的铁砧
,15,11,4,大師的鐵砧II,,,大师的铁砧II
,4,0,7,中級精鍊技術,Mid-Class Refinement,中級精錬技術,中级精炼技术
,5,4,8,高級精鍊技術,High-Class Refinement,上級精錬技術,高级精炼技术
